Ticket type,Ticket no,User name,Issued,Order,Order #,Ticket id,Avatar filename,QR profile filename,QR feedback filename,Name,Twitter,Serial code,Sponsor logo,checked_in,Ticket url,インボイス対応について,参加のためには別途チケットをご購入ください,応援団の Web サイト表示について,返金対応はいたしかねます,その他コメント欄
"ラーメンを応援します","V-1","tadsan","2024/06/15 1:42","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-1.png","qr-feedback-ラーメンを応援します-V-1.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/hUTtyVbtsMhBMcLw0THWDVc5JD8pS4n2","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-2","o0h","2024/06/15 1:43","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-2.png","qr-feedback-ラーメンを応援します-V-2.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/HuT8ZpLcT2qAYdQC3ofQYpzuUIFDuyou","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-3","muno92","2024/06/15 1:48","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-3.png","qr-feedback-ラーメンを応援します-V-3.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/tJeP5QZ6kLN7iqq3QfhCr79QZY2wCNol","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-4","masatoshiitoh","2024/06/15 2:01","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-4.png","qr-feedback-ラーメンを応援します-V-4.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/lGLfHEXB7OK8zDbeUbgPx6q7y5I7AZyg","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-5","masatoshiitoh","2024/06/15 2:03","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-5.png","qr-feedback-ラーメンを応援します-V-5.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/c3oiGa9Pab9XPGG1aEVMYbYHypv9PZWc","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-6","chatii","2024/06/15 7:44","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-6.png","qr-feedback-ラーメンを応援します-V-6.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/jPnDwKVnEnvxTLtLbkCRAID1EecnYacd","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-7","chatii","2024/06/15 7:45","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-7.png","qr-feedback-ラーメンを応援します-V-7.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/yqVCxCm5aiDdIa942nrtivXbeNerGbMp","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-8","kiguchi","2024/06/15 9:00","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-8.png","qr-feedback-ラーメンを応援します-V-8.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/qdhCzdG2QPEVzNqIvvQgAmCDtLhQJvY1","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","微力ながら応援いたします"
"ラーメンを応援します","V-9","yamato-sorariku","2024/06/15 9:24","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-9.png","qr-feedback-ラーメンを応援します-V-9.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/MVLnJcn66OxE6sa5snqTfxQc8mCwJfle","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-10","nakme","2024/06/15 9:37","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-10.png","qr-feedback-ラーメンを応援します-V-10.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/4UUTelROKTA1N3hNVARlOPXTSin4riYc","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-11","ippeysumida","2024/06/15 9:38","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-11.png","qr-feedback-ラーメンを応援します-V-11.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/50eLem4ENRMf0p8dhQyc0h81MIUr2207","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","noteから来ました。
当日参加できないですが、がんばってください。"
"ラーメンを応援します","V-12","yumu","2024/06/15 9:54","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-12.png","qr-feedback-ラーメンを応援します-V-12.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/KbgyUfUvhFfjhKq4F6CEkfqTLyobUf2I","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-13","tacck","2024/06/15 10:13","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-13.png","qr-feedback-ラーメンを応援します-V-13.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/O8ZDl5vA2C4keOr8IJJzZWXJyoT8Glw0","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","食べて応援！"
"ラーメンを応援します","V-16","onk","2024/06/15 11:48","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-16.png","qr-feedback-ラーメンを応援します-V-16.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/l67vGjbY79yafCSv34PTfhTSCFnEyyQ1","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","参加はできないんですが応援しています！いい枠組みをありがとうございます"
"ラーメンを応援します","V-17","ichikaway","2024/06/15 12:05","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-17.png","qr-feedback-ラーメンを応援します-V-17.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/4hn3oGHkB5mEHuL62ZW1SrTZDXS6wa1B","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-18","fkuMnk","2024/06/15 13:03","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-18.png","qr-feedback-ラーメンを応援します-V-18.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/8oQuBWhQhIkrAw9lCItbnTikwL8eq5mh","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-19","fkuMnk","2024/06/15 13:06","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-19.png","qr-feedback-ラーメンを応援します-V-19.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/v1PFS8754z0FlINJTXvhrn33PgPhWWel","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-20","myou","2024/06/15 14:18","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-20.png","qr-feedback-ラーメンを応援します-V-20.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/rhZsxPXPklG7CO1k2fgfN6OsgTs6KtOv","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-21","es-kumagai","2024/06/15 16:02","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-21.png","qr-feedback-ラーメンを応援します-V-21.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/IvqpQERhr88jlRxIbK8Zkera8X9GPcsz","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-22","maki","2024/06/15 17:39","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-22.png","qr-feedback-ラーメンを応援します-V-22.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/K7RjSLkbKDuKzd88gzI6iolhMr4ajVcY","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました",""
"ラーメンを応援します","V-23","gattoman","2024/06/15 19:06","","","","default-avatar.png","qr-profile-ラーメンを応援します-V-23.png","qr-feedback-ラーメンを応援します-V-23.png","","","",,false,"https://fortee.jp/techramen-24-conf/attendee/64oQz6YjnP1tNNQlRvfwXbT2BjxHG3N9","領収書の注意事項について理解しました","このチケットではイベント参加できないことを理解しました","表示してもよい(fortee の設定についても理解した)","返金不可の旨を理解しました","めんまは必須"
